doc_id,baseline_x,baseline_y,run_x,run_y,displacement
doc_0908,11.67116,11.636848,11.67116,11.636848,0.0
doc_0909,11.743131,9.938893,11.743131,9.938893,0.0
doc_0910,9.547517,13.979689,9.547517,13.979689,0.0
doc_0911,10.341084,12.680941,10.341084,12.680941,0.0
doc_0912,12.851619,11.19373,12.851619,11.19373,0.0
doc_0913,9.861931,10.51517,9.861931,10.51517,0.0
doc_0914,11.613477,13.025209,11.613477,13.025209,0.0
doc_0915,10.450668,13.857394,10.450668,13.857394,0.0
doc_0916,11.629857,13.39162,11.629857,13.39162,0.0
doc_0917,9.904198,15.124343,9.904198,15.124343,0.0
doc_0918,10.859146,9.003451,10.859146,9.003451,0.0
doc_0919,8.944963,15.693914,8.944963,15.693914,0.0
doc_0920,9.365929,12.864303,9.365929,12.864303,0.0
doc_0921,9.728522,13.99996,9.728522,13.99996,0.0
doc_0922,9.225137,13.333383,9.225137,13.333383,0.0
doc_0923,11.95675,13.711666,11.95675,13.711666,0.0
doc_0924,14.369634,10.651326,14.369634,10.651326,0.0
doc_0925,15.078833,13.608309,15.078833,13.608309,0.0
doc_0926,12.552504,8.474605,12.552504,8.474605,0.0
doc_0927,13.414193,14.225973,13.414193,14.225973,0.0
doc_0928,11.993483,14.344224,11.993483,14.344224,0.0
doc_0929,10.402094,13.519735,10.402094,13.519735,0.0
doc_0930,10.893142,13.780629,10.893142,13.780629,0.0
doc_0931,10.816308,13.710578,10.816308,13.710578,0.0
doc_0932,10.317332,14.04459,10.317332,14.04459,0.0
doc_0933,9.487682,14.038963,9.487682,14.038963,0.0
doc_0934,9.5879965,11.821714,9.5879965,11.821714,0.0
doc_0935,10.442851,13.426848,10.442851,13.426848,0.0
doc_0936,7.9308953,10.69949,7.9308953,10.69949,0.0
doc_0937,15.061298,10.161802,15.061298,10.161802,0.0
doc_0938,12.302861,12.42687,12.302861,12.42687,0.0
doc_0939,11.89156,12.641331,11.89156,12.641331,0.0
doc_0940,12.505197,10.647877,12.505197,10.647877,0.0
doc_0941,4.806452,13.527846,4.806452,13.527846,0.0
doc_0942,11.690719,9.771459,11.690719,9.771459,0.0
